AF122884|S000841840	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella
AF122885|S000387193	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella
AF122886|S000841841	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella
AF123077|S000387200	Root;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azoarcus
AF123085|S000498560	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Rhodopseudomonas
AF123264|S000387203	Root;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Thauera
AF124055|S000387215	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio
AF124342|S000387216	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Nocardiaceae;Rhodococcus
AF124350|S000387218	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
AF125091|S000387255	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Intrasporangiaceae;Tetrasphaera
AF125092|S000387256	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Intrasporangiaceae;Tetrasphaera
AF125207|S000337921	Root;Bacteria;SR1;SR1_genera_incertae_sedis
AF125584|S000387268	Root;Bacteria;Firmicutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma
AF125585|S000387269	Root;Bacteria;Firmicutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma
AF125586|S000387270	Root;Bacteria;Firmicutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma
AF125587|S000387271	Root;Bacteria;Firmicutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma
AF125588|S000387272	Root;Bacteria;Firmicutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma
AF125589|S000387273	Root;Bacteria;Firmicutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma
AF125590|S000387274	Root;Bacteria;Firmicutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma
AF125591|S000387275	Root;Bacteria;Firmicutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma
AF125592|S000387276	Root;Bacteria;Firmicutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma
AF125593|S000387277	Root;Bacteria;Firmicutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma
AF125878|S000387280	Root;Bacteria;Firmicutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma
AF125879|S000387281	Root;Bacteria;Firmicutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma
AF126282|S000387293	Root;Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;Smithella
AF126545|S000387296	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thioalkalivibrio
AF126546|S000387297	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thioalkalivibrio
AF126547|S000387298	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thioalkalivibrio
AF126548|S000387299	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae;Thioalkalimicrobium
AF126549|S000387300	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae;Thioalkalimicrobium
AF126687|S000387301	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium
AF126738|S000387302	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
AF127024|S000387305	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium
AF127407|S000387324	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Gluconacetobacter
AF127912|S000387334	Root;Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter
AF129441|S000387362	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Raoultella
AF129442|S000387363	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Raoultella
AF129443|S000387364	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Raoultella
AF130254|S000387384	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
AF130258|S000004674	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Syntrophomonadaceae;Caldicellulosiruptor
AF130858|S000338132	Root;Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp4
AF130910|S000458495	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Erwinia
AF130953|S000458496	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Pantoea
AF130983|S000387415	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Klebsiella
AF131295|S000387421	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
AF131296|S000387422	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
AF131297|S000387423	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingopyxis
AF132789|S000387821	Root;Bacteria;Cyanobacteria;Cyanobacteria;Family 4.1;Cylindrospermum
AF133090|S000387857	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Xenohaliotis
AF133535|S000387859	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus
AF133902|S000387866	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Mycobacteriaceae;Mycobacterium
AF134065|S000387867	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas
AF134066|S000387868	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptosporangineae;Thermomonosporaceae;Actinocorallia
AF134069|S000387871	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptosporangineae;Thermomonosporaceae;Actinomadura
AF134070|S000387872	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptosporangineae;Thermomonosporaceae;Actinomadura
AF134179|S000387891	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Micrococcaceae;Arthrobacter
AF134868|S000570009	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Alicyclobacillaceae;Pasteuria
AF134982|S000387902	Root;Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus
AF136846|S000387912	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Ketogulonicigenium
AF136850|S000387916	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Ketogulonicigenium
AF137029|S000470279	Root;Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flexibacteraceae;Dyadobacter
AF137381|S000498586	Root;Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flexibacteraceae;Runella
AF137502|S000498587	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Alicyclobacillaceae;Alicyclobacillus
AF138733|S000387929	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae;Thermoflavimicrobium
AF138735|S000387931	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae;Seinonella
AF138736|S000387932	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae;Laceyella
AF138738|S000387934	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae;Laceyella
AF138739|S000387935	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae;Thermoactinomyces
AF139173|S000387938	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Pandoraea
AF139174|S000387939	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Pandoraea
AF139175|S000387940	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Pandoraea
AF139176|S000387941	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Pandoraea
AF139204|S000387944	Root;Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae;Treponema
AF139992|S000388002	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus
AF143511|S000388075	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Alkalibacterium
AF144036|S000388104	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas
AF144383|S000388105	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ramlibacter
AF144407|S000388106	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Incertae sedis 7;Alishewanella
AF144750|S000388112	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Planomicrobium
AF145815|S000338674	Root;Bacteria;TM7;TM7_genera_incertae_sedis
AF145827|S000338686	Root;Bacteria;TM7;TM7_genera_incertae_sedis
AF145921|S000388131	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella
AF146526|S000388136	Root;Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae;Denitrovibrio
AF147708|S000388154	Root;Bacteria;Firmicutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Phytoplasma
AF148554|S000388163	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
AF148556|S000388165	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
AF148947|S000388174	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Gordoniaceae;Gordonia
AF151432|S000388240	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thioalkalivibrio
AF152107|S000388242	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micromonosporineae;Micromonosporaceae;Catellatospora
AF152109|S000388244	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micromonosporineae;Micromonosporaceae;Micromonospora
AF152595|S000388247	Root;Bacteria;Firmicutes;Clostridia;Halanaerobiales;Halobacteroidaceae;Orenia
AF152597|S000388249	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylobacter
AF153881|S000388254	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptosporangineae;Thermomonosporaceae;Actinomadura
AF154083|S000338833	Root;Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp21
AF154085|S000338835	Root;Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp9
AF154095|S000338845	Root;Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp9
AF154127|S000388260	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptosporangineae;Thermomonosporaceae;Actinomadura
AF154128|S000388261	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Pseudonocardineae;Pseudonocardiaceae;Saccharopolyspora
AF154129|S000388262	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Nocardiaceae;Nocardia
AF155567|S000388272	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Wautersia
AF155952|S000388275	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus
AF155956|S000388279	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus
AF156784|S000388296	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Anaplasma
AF156796|S000388299	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium
AF157054|S000388320	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium
AF159257|S000498638	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium
AF159363|S000388362	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;Agreia
AF159364|S000498639	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;Rathayibacter
AF159365|S000498640	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;Rathayibacter
AF161069|S000388382	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Syntrophomonadaceae;Thermanaerovibrio
AF162266|S000388383	Root;Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Flavobacterium
AF163114|S000388385	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptosporangineae;Thermomonosporaceae;Actinomadura
AF163116|S000388387	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptosporangineae;Thermomonosporaceae;Actinomadura
AF163117|S000388388	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptosporangineae;Thermomonosporaceae;Actinocorallia
AF163118|S000388389	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptosporangineae;Thermomonosporaceae;Actinomadura
AF163119|S000388390	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptosporangineae;Thermomonosporaceae;Actinomadura
AF163120|S000388391	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptosporangineae;Thermomonosporaceae;Actinomadura
AF163121|S000388392	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptosporangineae;Thermomonosporaceae;Actinomadura
AF163122|S000388393	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptosporangineae;Thermomonosporaceae;Actinomadura
AF163123|S000388394	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptosporangineae;Thermomonosporaceae;Thermopolyspora
AF164345|S000388421	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
AF167711|S000388430	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Acidaminococcaceae;Papillibacter
AF168365|S000002651	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfotomaculum
AF168367|S000388433	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Oceanimonas
AF169245|S000388434	Root;Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium
AF169520|S000388471	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus
AF169531|S000388482	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus
AF170103|S000011521	Root;Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chloroherpeton
AF170417|S000388514	Root;Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;Desulfacinum
AF170419|S000388516	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Halothiobacillaceae;Halothiobacillus
AF170738|S000388532	Root;Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Cryomorphaceae;Cryomorpha
AF170749|S000388543	Root;Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Aequorivita
AF170914|S000388555	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas
AF171700|S000388556	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micromonosporineae;Micromonosporaceae;Catellatospora
AF172167|S000388561	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Anaplasma
AF172443|S000388562	Root;Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Incertae sedis 1;Methanocalculus
AF172987|S000388567	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas
AF173005|S000388573	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Nocardiaceae;Rhodococcus
AF173169|S000388575	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Halothiobacillaceae;Halothiobacillus
AF173967|S000365773	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinomonas
AF173986|S000388577	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Leuconostoc
AF174290|S000388579	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Mycobacteriaceae;Mycobacterium
AF174435|S000388582	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Pseudonocardineae;Actinosynnemataceae;Lentzea
AF174484|S000388584	Root;Bacteria;Firmicutes;Clostridia;Thermoanaerobacteriales;Thermoanaerobacteriaceae;Caldanaerobacter
AF175402|S000388588	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Leuconostoc
AF175403|S000388589	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Leuconostoc
AF176103|S000388602	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
AF176594|S000388643	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Incertae sedis 5;Methylibium
AF177275|S000388671	Root;Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Parachlamydiaceae;Neochlamydia
AF177276|S000010738	Root;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio
AF177296|S000388672	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylosarcina
AF177297|S000388673	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylosarcina
AF177427|S000388686	Root;Bacteria;Proteobacteria;Betaproteobacteria;Procabacteriales;Procabacteriaceae;Procabacter
AF177667|S000388693	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella
AF177729|S000388694	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
AF177943|S000388699	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Incertae sedis 5;Tepidimonas
AF178037|S000388701	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Rickettsia
AF178988|S000388712	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptosporangineae;Nocardiopsaceae;Streptomonospora
AF179678|S000388715	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Defluviicoccus
AF179865|S000388716	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Nocardiaceae;Nocardia
AF180468|S000388725	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Meganema
AF180967|S000388727	Root;Bacteria;Cyanobacteria;Cyanobacteria;Family 1.1;Prochlorococcus
AF181448|S000021400	Root;Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Riemerella
AF181848|S000388740	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Caloramator
AF183558|S000388793	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
AF183957|S000388804	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Pseudonocardineae;Actinosynnemataceae;Lentzea
AF184081|S000388805	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces
AF184974|S000388821	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
AF186072|S000388824	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Acidaminococcaceae;Veillonella
AF186410|S000339215	Root;Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp3
AF186413|S000339218	Root;Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp11
AF188332|S000388827	Root;Bacteria;Aquificae;Aquificae;Aquificales;Aquificaceae;Persephonella
AF191225|S000388840	Root;Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Acidilobus
AF191733|S000498781	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptosporangineae;Streptosporangiaceae;Streptosporangium
AF191734|S000388869	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptosporangineae;Streptosporangiaceae;Streptosporangium
AF191735|S000498782	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptosporangineae;Streptosporangiaceae;Streptosporangium
AF191737|S000388872	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus
AF191739|S000388874	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Sinorhizobium
AF192152|S000001126	Root;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio
AF192153|S000006150	Root;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio
AF192761|S000388894	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Gluconacetobacter
AF193818|S000498783	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium
AF195410|S000388921	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Hahellaceae;Hahella
AF195412|S000388923	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptosporangineae;Nocardiopsaceae;Nocardiopsis
AF195784|S000388942	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Leuconostoc
AF195797|S000388943	Root;Bacteria;Firmicutes;Clostridia;Thermoanaerobacteriales;Thermoanaerobacteriaceae;Caldanaerobacter
AF197337|S000388987	Root;Bacteria;Firmicutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma
AF198623|S000388993	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Hyphomicrobium
AF198624|S000388994	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium
AF202056|S000389016	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Sporosarcina
AF202258|S000389018	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium
AF203703|S000389038	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Syntrophomonadaceae;Anaerobranca
AF204274|S000389043	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bartonellaceae;Bartonella
AF206305|S000018119	Root;Bacteria;Fusobacteria;Fusobacteria;Fusobacteriales;Fusobacteriaceae;Leptotrichia
AF208290|S000389070	Root;Bacteria;Bacteroidetes;Bacteroidetes;Bacteroidales;Porphyromonadaceae;Porphyromonas
AF208293|S000389071	Root;Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Zobellia
AF208315|S000389072	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Xanthomonas
AF209708|S000389130	Root;Bacteria;Firmicutes;Clostridia;Thermoanaerobacteriales;Thermoanaerobacteriaceae;Caldanaerobacter
AF211860|S000389208	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas
AF212202|S000365814	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas
AF212204|S000365815	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas
AF212206|S000365816	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas
AF212218|S000365818	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas
AF212859|S000389223	Root;Bacteria;Firmicutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma
AF212925|S000389225	Root;Bacteria;Firmicutes;Clostridia;Thermoanaerobacteriales;Thermoanaerobacteriaceae;Caldanaerobacter
AF215704|S000389259	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
AF215705|S000389260	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
AF217460|S000389301	Root;Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Xiphinematobacteriaceae;Xiphinematobacter
AF217461|S000389302	Root;Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Xiphinematobacteriaceae;Xiphinematobacter
AF217462|S000389303	Root;Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Xiphinematobacteriaceae;Xiphinematobacter
AF218076|S000389334	Root;Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Sulfurospirillum
AF218292|S000389343	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Nocardiaceae;Nocardia
AF218782|S000389346	Root;Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Muricauda
AF219974|S000458517	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Nocardiaceae;Nocardia
AF220064|S000389354	Root;Bacteria;Firmicutes;Mollicutes;Incertae sedis 8;Erysipelotrichaceae;Bulleidia
